id,question,correct_answer,choice_1,choice_2,choice_3,difficulty,Knowledge Category,Topic Focus
265,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
266,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
267,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,1,General Knowledge,Miscellaneous
268,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,1,Literature,Authors & Literature
269,What is the atomic number of carbon?,6,12,8,14,1,General Knowledge,Miscellaneous
270,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
271,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
272,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
273,Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,2,General Knowledge,Miscellaneous
274,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
275,In what year did the French Revolution begin?,1789,1776,1804,1815,2,General Knowledge,Miscellaneous
276,What is the largest known prime number (as of 2023)?,"2^82,589,933 - 1","2^77,232,917 - 1","2^43,112,609 - 1","2^57,885,161 - 1",2,Mathematics,Arithmetic
277,What is the half-life of carbon-14?,"5,730 years","1,000 years","10,000 years","50,000 years",2,Mathematics,Arithmetic
278,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
279,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon,2,General Knowledge,Miscellaneous
280,What is the Goldbach Conjecture?,Every even integer greater than 2 can be expressed as the sum of two primes,There are infinitely many prime numbers,There is no largest prime number,Every odd number is the sum of three primes,2,General Knowledge,Miscellaneous
281,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
282,What is 2 + 2?,4,3,5,6,0,Mathematics,Arithmetic
283,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
284,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
285,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,0,General Knowledge,Miscellaneous
286,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
287,What color is a banana?,Yellow,Red,Green,Blue,0,General Knowledge,Miscellaneous
288,How many continents are there?,7,5,6,8,0,General Knowledge,Miscellaneous
289,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,0,General Knowledge,Miscellaneous
290,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
291,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,1,Literature,Authors & Literature
292,What is the square root of 64?,8,6,10,12,1,Mathematics,Arithmetic
293,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
294,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
295,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
296,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
297,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,1,General Knowledge,Miscellaneous
298,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,1,Literature,Authors & Literature
299,What is the atomic number of carbon?,6,12,8,14,1,General Knowledge,Miscellaneous
300,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
301,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
302,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
303,Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,2,General Knowledge,Miscellaneous
304,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
305,In what year did the French Revolution begin?,1789,1776,1804,1815,2,General Knowledge,Miscellaneous
306,What is the largest known prime number (as of 2023)?,"2^82,589,933 - 1","2^77,232,917 - 1","2^43,112,609 - 1","2^57,885,161 - 1",2,Mathematics,Arithmetic
307,What is the half-life of carbon-14?,"5,730 years","1,000 years","10,000 years","50,000 years",2,Mathematics,Arithmetic
308,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
309,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon,2,General Knowledge,Miscellaneous
310,What is the Goldbach Conjecture?,Every even integer greater than 2 can be expressed as the sum of two primes,There are infinitely many prime numbers,There is no largest prime number,Every odd number is the sum of three primes,2,General Knowledge,Miscellaneous
311,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
312,What is 2 + 2?,4,3,5,6,0,Mathematics,Arithmetic
313,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
314,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
315,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,0,General Knowledge,Miscellaneous
316,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
317,What color is a banana?,Yellow,Red,Green,Blue,0,General Knowledge,Miscellaneous
318,How many continents are there?,7,5,6,8,0,General Knowledge,Miscellaneous
319,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,0,General Knowledge,Miscellaneous
320,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
321,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,1,Literature,Authors & Literature
322,What is the square root of 64?,8,6,10,12,1,Mathematics,Arithmetic
323,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
324,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
325,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
326,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
327,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,1,General Knowledge,Miscellaneous
328,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,1,Literature,Authors & Literature
329,What is the atomic number of carbon?,6,12,8,14,1,General Knowledge,Miscellaneous
330,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
331,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
332,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
333,Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,2,General Knowledge,Miscellaneous
334,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
335,In what year did the French Revolution begin?,1789,1776,1804,1815,2,General Knowledge,Miscellaneous
336,What is the largest known prime number (as of 2023)?,"2^82,589,933 - 1","2^77,232,917 - 1","2^43,112,609 - 1","2^57,885,161 - 1",2,Mathematics,Arithmetic
337,What is the half-life of carbon-14?,"5,730 years","1,000 years","10,000 years","50,000 years",2,Mathematics,Arithmetic
338,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
339,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon,2,General Knowledge,Miscellaneous
340,What is the Goldbach Conjecture?,Every even integer greater than 2 can be expressed as the sum of two primes,There are infinitely many prime numbers,There is no largest prime number,Every odd number is the sum of three primes,2,General Knowledge,Miscellaneous
341,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
342,What is 2 + 2?,4,3,5,6,0,Mathematics,Arithmetic
343,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
344,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
345,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,0,General Knowledge,Miscellaneous
346,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
347,What color is a banana?,Yellow,Red,Green,Blue,0,General Knowledge,Miscellaneous
348,How many continents are there?,7,5,6,8,0,General Knowledge,Miscellaneous
349,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,0,General Knowledge,Miscellaneous
350,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
351,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,1,Literature,Authors & Literature
352,What is the square root of 64?,8,6,10,12,1,Mathematics,Arithmetic
353,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
354,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
355,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
356,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
357,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,1,General Knowledge,Miscellaneous
358,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,1,Literature,Authors & Literature
359,What is the atomic number of carbon?,6,12,8,14,1,General Knowledge,Miscellaneous
360,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
361,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
362,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
363,Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,2,General Knowledge,Miscellaneous
364,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
365,In what year did the French Revolution begin?,1789,1776,1804,1815,2,General Knowledge,Miscellaneous
366,What is the largest known prime number (as of 2023)?,"2^82,589,933 - 1","2^77,232,917 - 1","2^43,112,609 - 1","2^57,885,161 - 1",2,Mathematics,Arithmetic
367,What is the half-life of carbon-14?,"5,730 years","1,000 years","10,000 years","50,000 years",2,Mathematics,Arithmetic
368,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
369,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon,2,General Knowledge,Miscellaneous
370,What is the Goldbach Conjecture?,Every even integer greater than 2 can be expressed as the sum of two primes,There are infinitely many prime numbers,There is no largest prime number,Every odd number is the sum of three primes,2,General Knowledge,Miscellaneous
371,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
372,What is 2 + 2?,4,3,5,6,0,Mathematics,Arithmetic
373,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
374,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
375,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,0,General Knowledge,Miscellaneous
376,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
377,What color is a banana?,Yellow,Red,Green,Blue,0,General Knowledge,Miscellaneous
378,How many continents are there?,7,5,6,8,0,General Knowledge,Miscellaneous
379,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,0,General Knowledge,Miscellaneous
380,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
381,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,1,Literature,Authors & Literature
382,What is the square root of 64?,8,6,10,12,1,Mathematics,Arithmetic
383,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
384,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
385,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
386,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
387,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,1,General Knowledge,Miscellaneous
388,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,1,Literature,Authors & Literature
389,What is the atomic number of carbon?,6,12,8,14,1,General Knowledge,Miscellaneous
390,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
391,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
392,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
393,Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,2,General Knowledge,Miscellaneous
394,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
395,In what year did the French Revolution begin?,1789,1776,1804,1815,2,General Knowledge,Miscellaneous
396,What is the largest known prime number (as of 2023)?,"2^82,589,933 - 1","2^77,232,917 - 1","2^43,112,609 - 1","2^57,885,161 - 1",2,Mathematics,Arithmetic
397,What is the half-life of carbon-14?,"5,730 years","1,000 years","10,000 years","50,000 years",2,Mathematics,Arithmetic
398,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
399,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon,2,General Knowledge,Miscellaneous
400,What is the Goldbach Conjecture?,Every even integer greater than 2 can be expressed as the sum of two primes,There are infinitely many prime numbers,There is no largest prime number,Every odd number is the sum of three primes,2,General Knowledge,Miscellaneous
401,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
402,What is 2 + 2?,4,3,5,6,0,Mathematics,Arithmetic
403,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
404,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
405,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,0,General Knowledge,Miscellaneous
406,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
407,What color is a banana?,Yellow,Red,Green,Blue,0,General Knowledge,Miscellaneous
408,How many continents are there?,7,5,6,8,0,General Knowledge,Miscellaneous
409,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,0,General Knowledge,Miscellaneous
410,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
411,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,1,Literature,Authors & Literature
412,What is the square root of 64?,8,6,10,12,1,Mathematics,Arithmetic
413,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
414,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
415,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
416,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
417,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,1,General Knowledge,Miscellaneous
418,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,1,Literature,Authors & Literature
419,What is the atomic number of carbon?,6,12,8,14,1,General Knowledge,Miscellaneous
420,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
421,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
422,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
423,Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,2,General Knowledge,Miscellaneous
424,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
425,In what year did the French Revolution begin?,1789,1776,1804,1815,2,General Knowledge,Miscellaneous
426,What is the largest known prime number (as of 2023)?,"2^82,589,933 - 1","2^77,232,917 - 1","2^43,112,609 - 1","2^57,885,161 - 1",2,Mathematics,Arithmetic
427,What is the half-life of carbon-14?,"5,730 years","1,000 years","10,000 years","50,000 years",2,Mathematics,Arithmetic
428,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
429,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon,2,General Knowledge,Miscellaneous
430,What is the Goldbach Conjecture?,Every even integer greater than 2 can be expressed as the sum of two primes,There are infinitely many prime numbers,There is no largest prime number,Every odd number is the sum of three primes,2,General Knowledge,Miscellaneous
431,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
432,What is 2 + 2?,4,3,5,6,0,Mathematics,Arithmetic
433,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
434,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
435,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,0,General Knowledge,Miscellaneous
436,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
437,What color is a banana?,Yellow,Red,Green,Blue,0,General Knowledge,Miscellaneous
438,How many continents are there?,7,5,6,8,0,General Knowledge,Miscellaneous
439,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,0,General Knowledge,Miscellaneous
440,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
441,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,1,Literature,Authors & Literature
442,What is the square root of 64?,8,6,10,12,1,Mathematics,Arithmetic
443,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
444,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
445,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
446,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
447,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,1,General Knowledge,Miscellaneous
448,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,1,Literature,Authors & Literature
449,What is the atomic number of carbon?,6,12,8,14,1,General Knowledge,Miscellaneous
450,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
451,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
452,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
453,Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,2,General Knowledge,Miscellaneous
454,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
455,In what year did the French Revolution begin?,1789,1776,1804,1815,2,General Knowledge,Miscellaneous
456,What is the largest known prime number (as of 2023)?,"2^82,589,933 - 1","2^77,232,917 - 1","2^43,112,609 - 1","2^57,885,161 - 1",2,Mathematics,Arithmetic
457,What is the half-life of carbon-14?,"5,730 years","1,000 years","10,000 years","50,000 years",2,Mathematics,Arithmetic
458,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
459,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon,2,General Knowledge,Miscellaneous
460,What is the Goldbach Conjecture?,Every even integer greater than 2 can be expressed as the sum of two primes,There are infinitely many prime numbers,There is no largest prime number,Every odd number is the sum of three primes,2,General Knowledge,Miscellaneous
461,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
462,What is 2 + 2?,4,3,5,6,0,Mathematics,Arithmetic
463,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
464,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
465,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,0,General Knowledge,Miscellaneous
466,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
467,What color is a banana?,Yellow,Red,Green,Blue,0,General Knowledge,Miscellaneous
468,How many continents are there?,7,5,6,8,0,General Knowledge,Miscellaneous
469,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,0,General Knowledge,Miscellaneous
470,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
471,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,1,Literature,Authors & Literature
472,What is the square root of 64?,8,6,10,12,1,Mathematics,Arithmetic
473,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
474,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
475,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
476,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
477,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,1,General Knowledge,Miscellaneous
478,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,1,Literature,Authors & Literature
479,What is the atomic number of carbon?,6,12,8,14,1,General Knowledge,Miscellaneous
480,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
481,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
482,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
483,Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,2,General Knowledge,Miscellaneous
484,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
485,In what year did the French Revolution begin?,1789,1776,1804,1815,2,General Knowledge,Miscellaneous
486,What is the largest known prime number (as of 2023)?,"2^82,589,933 - 1","2^77,232,917 - 1","2^43,112,609 - 1","2^57,885,161 - 1",2,Mathematics,Arithmetic
487,What is the half-life of carbon-14?,"5,730 years","1,000 years","10,000 years","50,000 years",2,Mathematics,Arithmetic
488,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
489,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon,2,General Knowledge,Miscellaneous
490,What is the Goldbach Conjecture?,Every even integer greater than 2 can be expressed as the sum of two primes,There are infinitely many prime numbers,There is no largest prime number,Every odd number is the sum of three primes,2,General Knowledge,Miscellaneous
491,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
492,What is 2 + 2?,4,3,5,6,0,Mathematics,Arithmetic
493,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
494,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
495,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,0,General Knowledge,Miscellaneous
496,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
497,What color is a banana?,Yellow,Red,Green,Blue,0,General Knowledge,Miscellaneous
498,How many continents are there?,7,5,6,8,0,General Knowledge,Miscellaneous
499,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,0,General Knowledge,Miscellaneous
500,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
501,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,1,Literature,Authors & Literature
502,What is the square root of 64?,8,6,10,12,1,Mathematics,Arithmetic
503,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
504,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
505,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
506,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
507,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,1,General Knowledge,Miscellaneous
508,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,1,Literature,Authors & Literature
509,What is the atomic number of carbon?,6,12,8,14,1,General Knowledge,Miscellaneous
510,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
511,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
512,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
513,Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,2,General Knowledge,Miscellaneous
514,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
515,In what year did the French Revolution begin?,1789,1776,1804,1815,2,General Knowledge,Miscellaneous
516,What is the largest known prime number (as of 2023)?,"2^82,589,933 - 1","2^77,232,917 - 1","2^43,112,609 - 1","2^57,885,161 - 1",2,Mathematics,Arithmetic
517,What is the half-life of carbon-14?,"5,730 years","1,000 years","10,000 years","50,000 years",2,Mathematics,Arithmetic
518,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
519,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon,2,General Knowledge,Miscellaneous
520,What is the Goldbach Conjecture?,Every even integer greater than 2 can be expressed as the sum of two primes,There are infinitely many prime numbers,There is no largest prime number,Every odd number is the sum of three primes,2,General Knowledge,Miscellaneous
541,What is the capital of Japan?,Tokyo,Seoul,Beijing,Bangkok,0,Geography,Capital Cities
542,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,1,Geography,Landforms
543,Which country has the highest population?,China,India,USA,Indonesia,2,Geography,Countries & Demographics
544,What is the smallest continent?,Australia,Europe,Antarctica,South America,3,Geography,Continents
545,What is 5 + 7?,12,10,13,15,0,Mathematics,Arithmetic
